Subject,subject_id
Trakų salos pilis,407
Municipal government,408
Statutes and codes,409
Cityscapes,410
Panoramic photographs,411
"Behanzin, King of Dahomey, approximately 1844-1906",412
Political prisoners,413
France--Colonies,414
Sabah,415
Sarawak,416
Orthodox Eastern Church,417
Sermons,418
Bulgarian language,419
Guerillas,420
Haiduks,421
"Palauzov, Nikolai Stepanovich, around 1776-1853",422
Geography,423
Peasants,424
Wool,425
Shepherds,426
Canada. Canadian Army,427
Forests and forestry,428
Sleds and sleighs,429
Woodcutting,430
Canada. Canadian Army. Duchess of Connaught's Own Irish Canadian Rangers,431
Mothers,432
"Whistler, James McNeill, 1834-1903",433
Niagara Falls,434
Waterfalls,435
Cattle,436
Cowboys,437
Adobe buildings,438
Landlord and tenant,439
"Kangxi, Emperor of China, 1654-1722",440
"Qing dynasty, 1644-1911",441
"Gods, Chinese",442
"Inscriptions, Chinese",443
Oracle bones,444
Seasons,445
Buddhism,446
Mahāyāna Sūtras,447
"Ming dynasty, 1368-1644",448
Birthday parties,449
Men,450
Settlers,451
Thatched roof buildings,452
Cotton,453
Hotels,454
Settlements,455
Indochina,456
Tourism,457
Boats and boating,458
Cotton industry,459
Shipping,460
Coast defenses,461
Macau (China),462
Pearl River (China),463
Catholic Church,464
Georgian language,465
Missions,466
Italian language,467
Christians,468
Monks,469
Children's books,470
Fairy tales,471
Castles and palaces,472
"Haiti, Revolution, 1791-1804",473
Buildings,474
Periodicals for women,475
North Pacific Ocean,476
Germany--Colonies,477
Locks (Hydraulic engineering),478
Saimaa Canal,479
"Fables, French",480
French poetry,481
Catholic churches,482
"Lourdes, Our Lady of",483
Shrines,484
Transport of sick and wounded,485
"Coins, French",486
Canteens (Establishments),487
Young Men's Christian Association,488
Chickens,489
Eggs,490
Food supply,491
Home economics,492
Tea plantations,493
Palms,494
Agricultural laborers,495
Greeks,496
Tea industry,497
Packaging,498
Scales,499
Hydroelectric power,500
Pedestrian bridges,501
Power plants,502
Exhibition posters,503
Exhibitions and displays,504
Prisoners of war,505
Oils and fats,506
Poppies,507
Sunflowers,508
Cephalonia Island (Greece),509
Kythēra Island (Greece),510
Lefkas Island (Greece),511
Peloponnesus (Greece),512
Zakynthos (Greece: Nome),513
"Grenada, Battle of, 1779",514
Indians of Central America,515
Maya sculpture,516
Mayas,517
"Toussaint Louverture, 1743?-1803",518
Boys,519
Grapes,520
Vineyards,521
Grain,522
Architectural decorations and ornaments,523
Monkeys,524
Brahmans,525
Asceticism,526
Fakirs,527
Government officials,528
Drama,529
Javanese drama,530
Theatrical productions,531
Musicians,532
Puppet theater,533
Puppets,534
Hindu temples,535
Rubber plantation workers,536
Rubber trees,537
Tapping,538
Bogs,539
Laborers,540
Peat,541
Peat bogs,542
Nyoro (African people),543
Railroad locomotives,544
Volcanoes,545
"Art, Mexican",546
Aztec art,547
Twelve tribes of Israel,548
Churches,549
Holy Roman Empire,550
Military maps,551
Blind,552
War casualties,553
Wounds and injuries,554
"Gustav II Adolf, King of Sweden, 1594-1632",555
Horseback riding,556
Plantations,557
Thatched roofs,558
"Abdullah, King of Jordan, 1882-1951",559
Airplanes,560
"Bell, Gertrude Lowthian, 1868-1926",561
Biplanes,562
"Lawrence, T. E. (Thomas Edward), 1888-1935",563
"Samuel, Herbert Louis Samuel, Viscount, 1870-1963",564
Bedouins,565
Arabs,566
Camels,567
Horse racing,568
Bodyguards,569
Kyrgyz,570
Meadows,571
Nomads,572
Caravans,573
Donkeys,574
Pack animals,575
Cemeteries,576
Mounds (Burial),577
Plains,578
Farmhouses,579
Trees,580
Levees,581
Bells,582
Chapels,583
Musical instruments,584
Business districts,585
Commercial streets,586
Commerce,587
Discoveries in geography,588
Fur trade,589
Plants,590
Ship's papers,591
Smokestacks,592
Log rafts,593
American University of Beirut,594
Universities and colleges,595
Tribes,596
Saint Paul River Region (Liberia),597
Roads,598
Fishing nets,599
Fords (Stream crossings),600
Military personnel,601
Biography,602
Lee Boo (Died 1784),603
Pacific Islanders,604
Princes,605
Seafaring life,606
Smallpox,607
Smallpox vaccine,608
Hodegetria,609
Log buildings,610
Slides (Photography),611
Astrology,612
Diseases,613
Health,614
"Ghazzālī, 1058-1111",615
Nūḥ ibn al-Ṭāhir al-Fūlānī,616
Sufism,617
Mandates,618
Territorial questions,619
Algarve (Portugal),620
"Kotor, Gulf of (Montenegro)",621
Hindu Kush Mountains,622
Hebei Sheng (China),623
"Möllendorff, Otto Franz von, 1848-1903",624
"Africa, North",625
Port Louis (Mauritius),626
"Aguinaldo, Emilio, 1869-1964",627
Philippine American War,628
Revolutionaries,629
River boats,630
Gunboats,631
Bananas,632
Petroleum industry,633
Art--Study and teaching,634
Embroidery,635
Handicraft,636
Fishing,637
Body-marking,638
Maori (New Zealand people),639
Totem poles,640
Dancers,641
Folk dancing,642
Jarabe tapatío (Mexican hat dance),643
Ranches,644
Ambulances,645
Flags,646
Topographic maps,647
"Nordenskiöld, A. E. (Adolf Erik), 1832-1901",648
Northeast Passage,649
Russian Far East,650
"Peter I, Emperor of Russia, 1672-1725",651
Elephants,652
Lumber,653
Lumberyards,654
Statistics,655
"São Pedro River (Rio de Janeiro, Brazil)",656
Government buildings,657
Russia -- Colonies,658
Colonization,659
"Eighty Years' War, 1568-1648",660
Inquisition,661
Aztec calendar,662
Coatlicue (Statue),663
Charters,664
Nobility,665
Palenque site,666
Lapland,667
Railroad travel,668
Reindeer,669
Sami (European people),670
Swedish State Railways,671
Travel posters,672
Rio Grande do Sul (Brazil),673
Kremlins,674
Windows,675
Cape of Good Hope Region (South Africa),676
Bullfights,677
Jews,678
Dayak (Indonesian people),679
Prisoners,680
Drums,681
Railroad bridges,682
"Processions, Religious",683
Diamonds,684
German East Africa,685
Victoria Falls (Zambia and Zimbabwe),686
Domestic life,687
Wheat,688
Coal mines and mining,689
Mineral industries,690
Coffee plantations,691
Dravidians,692
Rattan palms,693
Canal construction,694
Masjid al-Ḥarām (The Sacred Mosque) (Mosque : Saudi Arabia),695
Mosques,696
Pilgrims and pilgrimages,697
Alphabet books,698
Cyrillic alphabet,699
Russian language,700
Ivory,701
Tusks,702
Cape of Good Hope,703
Farms,704
Ostriches,705
Princesses,706
Samoans,707
"Lobengula, King of the Matabele, circa 1833-1893?",708
Ndebele (African people),709
Baskets,710
Bakeries,711
Bread,712
Signs (Notices),713
Sinusoidal projection (Cartography),714
Uncle Sam (Symbolic character),715
Athletes,716
"Roberts, Frederick Sleigh Roberts, Earl, 1832-1914",717
Rugby,718
Bullets,719
Crowds,720
General stores,721
Tea,722
Channels,723
Liturgies,724
Jurisprudence,725
Law -- Philosophy,726
"State, The",727
Courtly love,728
"Literature, Medieval",729
Romances,730
Reynard the Fox (Legendary character),731
"Charlemagne, Emperor, 742-814",732
"Coins, Carolingian",733
"Francis I, King of France, 1494-1547",734
Battlefields,735
Military campaigns,736
Russia. Army,737
"Louis XIII, King of France, 1601-1643",738
Rugs,739
Uzbeks,740
Yurts,741
Electric power production,742
Hydroelectric generators,743
Machinery,744
Tile flooring,745
Railroad stations,746
"'Ālam Khān, Amir of Bukhara, born 1880",747
Reflections,748
Waterways,749
Gardens,750
Arches,751
Statues,752
Cliffs,753
Containers,754
Water carriers,755
Domes,756
Gur-Ẹmir (Mosque),757
Mosaics,758
"Timur, 1336-1405 -- Tomb",759
"Ulugh Beg, 1394-1449 -- Tomb",760
Bazaars,761
Food vendors,762
Fruit,763
Carpenters,764
Courtyards,765
Doors and doorways,766
Hymns,767
"Songs, English",768
Defenses,769
"Philip II, King of Spain, 1527-1598",770
Spanish Armada,771
Admirals,772
"Granada (Kingdom), Spanish Conquest, 1476-1492",773
Breisach am Rhein (Germany),774
Neuf-Brisach (France),775
"West Indies, French",776
English hymns,777
Pipe band music,778
Haggadot,779
Seder,780
Threshing,781
Hunting,782
Moore-Gurma languages,783
"Dagobert I, King of the Franks, died 639",784
Thrones,785
Czechoslovakia. Army,786
Legie česká (Czechoslovak Legion),787
Italy--Colonies,788
Gambia River,789
War,790
English Harbour (Antigua and Barbuda),791
"Banda, Hastings Kamuzu, 1898-1997",792
Political participation,793
Political parties,794
Representative government and representation,795
East Indies,796
Hinduism,797
Water-supply,798
Egba (African people),799
Yoruba (African people),800
Atlantic Coast (Venezuela),801
Navigation,802
Scientific expeditions,803
Afrikaners,804
"Augustus, Emperor of Rome, 63 B.C.-14 A.D.",805
"Caligula, Emperor of Rome, 12-41",806
Cameos,807
"Drusus, Julius Caesar, 7-33",808
"Germanicus Caesar, 15 B.C.-19 A.D.",809
Glyptics,810
"Livia, Empress, consort of Augustus, Emperor of Rome, circa 58 B.C.-29 A.D.",811
"Nero, Emperor of Rome, 37-68",812
"Tiberius, Emperor of Rome, 42 B.C.-37 A.D.",813
Togoland,814
"Philippe VI, king of France, 1293-1350",815
Haftarot,816
Coastlines,817
Canoes,818
Bikini Atoll (Marshall Islands),819
Nuclear weapons testing,820
Air warfare,821
Bombers,822
Grumman Avenger (Bombers),823
"Japanese occupation, 1895-1945",824
Public baths,825
Aristocracy (Social class),826
Heian period,827
Japanese literature,828
The Tale of Genji,829
Guaporé River (Brazil and Bolivia),830
Cobras Island,831
São Francisco River,832
Silver River (Argentina and Uruguay),833
Atlantic Coast (Brazil),834
Branco River,835
Solimoes River,836
Paraguay River,837
"Fort Tamandaré (Rio de Janeiro, Brazil)",838
"Fortress of Santa Cruz da Barra (Rio de Janeiro, Brazil)",839
"Fortress of St. John (Rio de Janeiro, Brazil)",840
Atlantic Coast (Uruguay),841
Carinhanha River,842
Paracatu River,843
Grand River,844
Itapicurú River,845
Una River,846
Treaties,847
Doce River,848
Jequitinhonha River,849
Vale Paraiba do Sul River,850
Portugal--Colonies,851
Iguatemi River,852
Tietê River,853
Aqueducts,854
Viaducts,855
Brum's Fort,856
Daman and Diu (India),857
Fortress of Díu (India),858
Fortress of Chaul (India),859
Fortress of Hormuz (Iran),860
"Hormuz, Straight of",861
Persian Gulf,862
Lutheran churches,863
"Brazil, South",864
Paraná River,865
All Saints Bay (Brazil),866
"Brazil -- History -- Dutch Domain, 1624-1654",867
Pantanal,868
Cartography,869
Chiquito Indians,870
Fugitive slaves,871
Battle of Catalán,872
Bays,873
Scandinavia,874
Gates,875
"Franco-Prussian War, 1870-1871",876
War damage,877
Lampposts,878
"Château de Saint-Cloud (Saint-Cloud, France)",879
Bathhouses,880
Ammunition,881
Barricades,882
Cannons,883
"Palais-Royal (Paris, France)",884
"Rue des Rosiers (Paris, France)",885
"Place de la Concorde (Paris, France)",886
"Rue de Rivoli (Paris, France)",887
"Rue Saint Florentin (Paris, France)",888
"Tuileries Palace (Paris, France)",889
Libraries,890
Fountains,891
Triumphal arches,892
"Colonne Vendome (Paris, France)",893
"Saint-Germain l'Auxerrois (Church : Paris, France)",894
Weapons,895
"Place Vendome (Paris, France)",896
Columns,897
"Rue de la Paix (Paris, France)",898
"Rue Castiglione (Paris, France)",899
Dinners and dining,900
"Hôtel de Salm (Paris, France)",901
Arcades,902
Fences,903
"Rue de Lille (Paris, France)",904
"Rue du Bac (Paris, France)",905
Courthouses,906
"Palais de justice (Paris, France)",907
Police stations,908
"Avenue Rapp (Paris, France)",909
Weapons industry,910
"Avenue de Courbevoie (Paris, France)",911
"Pont de Neuilly (Paris, France)",912
"Avenue de Neuilly (Paris, France)",913
"Sainte-Chapelle (Paris, France)",914
Piers and wharves,915
Seine River (France),916
"Rue de Roule (Paris, France)",917
Towers,918
"Rue Peyronnet (Paris, France)",919
Cottages,920
"Bois de Boulogne (Paris, France)",921
Restaurants,922
Theaters,923
Cantagallo Line Railroad,924
Leopoldina Railroad,925
Public buildings,926
Grão-Pará Palace,927
Imperial Museum (Brazil),928
"Pedro II, Emperor of Brazil, 1825-1891",929
Mother Church of Petropolis,930
"Rua do Imperador (Petrópolis, Brazil)",931
Streets,932
"Avenida Piabanha (Petrópolis, Brazil)",933
"Rua Sete de Abril (Petrópolis, Brazil)",934
"Rua Dr. Nelson de Sá Earp (Petrópolis, Brazil)",935
"Casa do Barão de Mauá (Petropolis, Brazil)",936
"Praça da Confluência (Petropolis, Brazil)",937
"Avenida Koeler (Petrópolis, Brazil)",938
"Avenida Ipiranga (Petrópolis, Brazil)",939
"Rua José Bonifácio (Petrópolis, Brazil)",940
"Rua Washington Luiz (Petrópolis, Brazil)",941
"Rua Roberto Silveira (Petrópolis, Brazil)",942
"Rua Marechal Deodoro (Petrópolis, Brazil)",943
"Bulhões Waterfall (Petropolis, Brazil)",944
"Itamaraty Waterfall (Petropolis, Brazil)",945
"Retiro, Cascata do (Petrópolis, Brazil)",946
Sepulchral monuments,947
Tombs,948
Minas and Rio Railroad (Brazil),949
Workshops,950
Brickmaking,951
Railroad tunnels,952
Construction workers,953
Embankments,954
Railroad construction and maintenance,955
Mantiqueira Mountain Range (Brazil),956
Forests,957
Paraná Railroad (Brazil),958
Ocean Mountains (Brazil),959
Pico do Marumbí State Park (Brazil),960
Railroad of Parana,961
Inclined planes,962
Railroad tracks,963
Railroad employees,964
Railroad handcars,965
Expositions,966
Manufactured products,967
Manufacturers,968
Farm produce,969
Gorges,970
Brazilian pine,971
"Fillmore, Abigail Powers, 1798-1853",972
Presidents' spouses,973
Teachers,974
Military uniforms,975
"Sigel, Franz, 1824-1902",976
Confederate States of America,977
"Davis, Varina, 1826-1906",978
"Benham, Henry Washington, 1813-1884",979
United States. Army. Corps of Engineers,980
"Cullum, George W. (George Washington), 1809-1892",981
"Duryée, Abram, 1815-1890",982
"Hooker, Joseph, 1814-1879",983
"Rosecrans, William S. (William Starke), 1819-1898",984
"Anderson, Robert, 1805-1871",985
"Mansfield, Joseph K.F., 1803-1862",986
"Farragut, David Glasgow, 1801-1870",987
United States. Navy,988
"Bailey, Theodorus, 1805-1877",989
"Boggs, Charles Stuart, 1811-1888",990
"Foote, Andrew H. (Andrew Hull), 1806-1863",991
"Du Pont, Samuel Francis, 1803-1865",992
"Davis, Charles Henry, 1807-1877",993
Scientists,994
"Stringham, Silas Horton, 1798-1876",995
"Paulding, Hiram, 1797-1878",996
Lawyers,997
"Stephens, Alexander H. (Alexander Hamilton), 1812-1883",998
Vice Presidents,999
Ambassadors,1000
Diplomats,1001
"Hamlin, Hannibal, 1809-1891",1002
United States. Congress,1003
Alaska -- Annexation to the United States,1004
"Seward, William H. (William Henry), 1801-1872",1005
United States. Department of State,1006
Abolitionists,1007
"Chase, Salmon P. (Salmon Portland), 1808-1873",1008
Free Soil Party (United States),1009
Governors,1010
Judges,1011
United States. Department of the Treasury,1012
United States. Supreme Court,1013
"Stanton, Edwin M. (Edwin McMasters), 1814-1869",1014
United States. War Department,1015
"Smith, Caleb B. (Caleb Blood), 1808-1864",1016
United States. Department of the Interior,1017
"Welles, Gideon, 1802-1878",1018
"Blair, Montgomery, 1813-1883",1019
Postal service,1020
"Scott, Dred, 1809-1858 -- Trials, litigation, etc.",1021
United States Postal Service,1022
"Slidell, Marie Mathilde Deslonde, 1815-1870",1023
"Bates, Edward, 1793-1869",1024
United States. Department of Justice,1025
"Fillmore, Millard, 1800-1874",1026
Authors,1027
"Authors, American",1028
Historians,1029
"Prescott, William Hickling, 1796-1859",1030
"Douglas, Stephen A. (Stephen Arnold), 1813-1861",1031
"Lincoln-Douglas Debates, Illinois, 1858",1032
American literature,1033
"Irving, Washington, 1783-1859",1034
"Houston, Sam, 1793-1863",1035
"Bryant, William Cullen, 1794-1878",1036
Poets,1037
"Poets, American",1038
"Bancroft, George, 1800-1891",1039
"Emerson, Ralph Waldo, 1803-1882",1040
Philosophers,1041
"Philosophy, American",1042
Transcendentalism (New England),1043
"Longfellow, Henry Wadsworth, 1807-1882",1044
"Hawthorne, Nathaniel, 1804-1864",1045
Romanticism,1046
"Holmes, Oliver Wendell, 1809-1894",1047
Physicians,1048
"Audubon, John-James, 1785-1851",1049
Birds,1050
Naturalists,1051
Ornithologists,1052
Painters,1053
Arctic regions,1054
Grinnell Expedition,1055
"Kane, Elisha Kent, 1820-1857",1056
Allegory,1057
Crying,1058
African Americans,1059
"Blair, Frank P., Jr. (Francis Preston), 1821-1875",1060
Publishers and publishing,1061
"Weed, Thurlow, 1797-1882",1062
Engineering,1063
Engineers,1064
"Ericsson, John, 1803-1889",1065
Monitor (Ironclad),1066
Naval architecture,1067
"Webster, Daniel, 1782-1852",1068
"Clay, Henry, 1777-1852",1069
"Clay, Lucretia Hart, 1781-1864",1070
"Scott, Winfield, 1786-1866",1071
"McClellan, George B. (George Brinton), 1826-1885",1072
"Halleck, H. W. (Henry Wager), 1815-1872",1073
"McDowell, Irvin, 1818-1885",1074
"Dix, John A. (John Adams), 1798-1879",1075
"Banks, Nathaniel Prentiss, 1816-1894",1076
"Wool, John Ellis, 1784-1869",1077
"Hunter, David, 1802-1886",1078
"Butler, Benjamin F. (Benjamin Franklin), 1818-1893",1079
"Sprague, William, 1830-1915",1080
"Burnside, Ambrose Everett, 1824-1881",1081
"Pope, John, 1822-1892",1082
"Blenker, Louis, 1812-1863",1083
Rooftops,1084
Sugar Loaf Mountain (Brazil),1085
Equestrian statues,1086
"Pedro I, Emperor of Brazil, 1798-1834",1087
"Tiradentes Square (Rio de Janeiro, Brazil)",1088
Walkways,1089
Hydraulic structures,1090
Botanical gardens,1091
The Arches (Rio de Janeiro),1092
Santa Teresa (Rio de Janeiro),1093
Reservoirs,1094
"Cameron, Simon, 1799-1889",1095
"Corwin, Thomas, 1794-1865",1096
"Mexican War, 1846-1848",1097
"Wilson, Henry, 1812-1875",1098
"Sumner, Charles, 1811-1874",1099
"Joinville, François-Ferdinand-Philippe-Louis-Marie d'Orléans, prince de, 1818-1900",1100
Attorneys general,1101
"Dickinson, Daniel S. (Daniel Stevens), 1800-1866",1102
"Penthievre, Pierre Philippe Jean Marie d'Orleans, duc de, 1845-1919",1103
"Clay, Cassius Marcellus, 1810-1903",1104
Charlotte Amalie (Virgin Islands),1105
Venus (Planet)--Transit--1882,1106
Astronomical instruments,1107
Astronomical observatories,1108
Telescopes,1109
"Graça, Francisco Calheiros da, 1849-1906",1110
"Silva, Arthur Índio do Brazil e, 1856-1933",1111
"Teffé, Antônio Luiz von Hoonholtz, Barão de, 1837-1931",1112
Brazil. Army,1113
National parks and reserves,1114
Pico Dedo de Deus (Brazil),1115
Serra dos Orgãos (Brazil),1116
"Alto da Boa Vista (Rio de Janeiro, Brazil)",1117
"Barra da Tijuca (Rio de Janeiro, Brazil)",1118
Scenic overlooks,1119
Tijuca Forest,1120
"Gávea (Rio de Janeiro, Brazil)",1121
Chinese,1122
Ordnance,1123
"Zuo, Zongtang, 1812-1885",1124
Bow and arrow,1125
"Deformities, Artificial",1126
Footbinding,1127
Household employees,1128
Lady's maids,1129
Table,1130
Opium,1131
Pipe smoking,1132
Guards,1133
Torture,1134
Capital punishment,1135
Criminals,1136
Wood poles,1137
Mongols,1138
Government employees,1139
Carriages and carts,1140
Minarets,1141
Sedan chairs,1142
Religious leaders,1143
Muslim women,1144
Fans,1145
Barbers,1146
Haircutting,1147
Confederate States of America. Army,1148
"Toombs, Robert Augustus, 1810-1885",1149
"Shields, James, 1810-1879",1150
