title|col|wdl_url|ins_key|pub_key|dewey_dec_code|item_code|date|item_id
A Summary Explanation of the Pronouncements of the Scholars and Theologians||https://www.wdl.org/en/item/31|ins_5||297.340|ms|1500/1799|29
A Modern and Quite Precise Depiction of America (or the Fourth Part of the World)|col_8|https://www.wdl.org/en/item/32|ins_1|pub_14|912|mp|1562|30
Arena Circus (2001), Khabarovsk, Russia|col_9|https://www.wdl.org/en/item/33|ins_1||791|prph|2001|31
Arkhangelsk Province|col_7|https://www.wdl.org/en/item/34|ins_4||914|prph|1856|32
Arrival of Emigrants [i.e. Immigrants], Ellis Island|col_10|https://www.wdl.org/en/item/35|ins_1|pub_15|304.325|mp|2309|33
Askiyah's Questions and al-Maghili's Answers [al-Maghili's Tract on Politics]||https://www.wdl.org/en/item/36|ins_5||340.966|ms|1450/1504|34
Ancient Assyria Divided into Syria, Mesopotamia, Babylonia, and Assyria||https://www.wdl.org/en/item/37|ins_1|pub_16|912|mp|1651|35
Astrakhan Province|col_7|https://www.wdl.org/en/item/38|ins_4||914|prph|1856|36
Portable Atlas, or, the New Theater of War in Europe||https://www.wdl.org/en/item/39|ins_1|pub_17|940|mp|1708|37
Austria-Hungary||https://www.wdl.org/en/item/40|ins_1|pub_18|912|mp|1906|38
Emigrant's Map and Guide for Routes to North America|col_5|https://www.wdl.org/en/item/41|ins_1|pub_19|912.917|mp|1853|39
Avgustov Province|col_7|https://www.wdl.org/en/item/42|ins_4||914|prph|1856|40
A Battery of 70 at Gragoatá Fort|col_11|https://www.wdl.org/en/item/43|ins_2||623.981|prph|1890|41
Peking||https://www.wdl.org/en/item/44|ins_1|pub_20|912|mp|1914|42
Bessarabia Province|col_7|https://www.wdl.org/en/item/45|ins_4||914|prph|1856|43
Chronicle of Knights in Armor|col_8|https://www.wdl.org/en/item/46|ins_1|pub_21|093.355|bk|1489-07-14|44
Boundary Between Turkey and Armenia: As Determined by Woodrow Wilson, President of the United States of America|col_12|https://www.wdl.org/en/item/47|ins_1||327.912|mp|1920|45
Brazil||https://www.wdl.org/en/item/48|ins_2|pub_22|912|mp|1851|46
British Empire Throughout the World, Exhibited in One View||https://www.wdl.org/en/item/49|ins_1|pub_23|911.912|mp|1850/1859|47
Campaigns of the Hesse-Darmstadt Contingent Under the First Empire||https://www.wdl.org/en/item/50|ins_1|pub_24|912.940|mp|1912|48
Cape of Good Hope||https://www.wdl.org/en/item/51|ins_1||912|mp|1842|49
Map of the Straits of Magellan and Part of the Land of Fire, Prepared in 1786||https://www.wdl.org/en/item/52|ins_1||912|mp|1786|50
Map of Barbary, Nigritia and Guinea||https://www.wdl.org/en/item/53|ins_1|pub_25|912|mp|1792|51
Map of Quantong Province or Lyau-tong and of the Kingdom of Kau-li or Korea: For the Universal History of a Society of Men of Letters||https://www.wdl.org/en/item/54|ins_1|pub_26|912|mp|1750|52
Map of Africa||https://www.wdl.org/en/item/55|ins_1|pub_27|912|mp|1820-01|53
Map of Australia||https://www.wdl.org/en/item/56|ins_1|pub_28|912|mp|1826|54
Map of the Provinces of Nicaragua and Costa Rica||https://www.wdl.org/en/item/57|ins_1||912|mp|1764|55
Map of the Three Arabias: Excerpted Partly from the Arab of Nubia, Partly from Several Other Authors||https://www.wdl.org/en/item/58|ins_1|pub_29|912|mp|1654|56
Map of the Belgian Congo||https://www.wdl.org/en/item/59|ins_1|pub_30|912|mp|1896|57
Cathedral of St. Seraphim (1907), Southwest View, Viatka, Russia|col_9|https://www.wdl.org/en/item/60|ins_1||726|prph|1999|58
Cathedral of St. Sophia (1568-70), with Belltower (1869-70), Southeast View, Vologda, Russia|col_9|https://www.wdl.org/en/item/61|ins_1||726|prph|1998|59
Central America, the West Indies South America and Portions of the United States and Mexico||https://www.wdl.org/en/item/62|ins_1|pub_31|912|mp|1909|60
Central Africa after the Newest Research||https://www.wdl.org/en/item/63|ins_1|pub_32|912|mp|1885|61
Chambers of Bishop Joseph Zolotoy (1764-69), East Facade, Vologda, Russia|col_9|https://www.wdl.org/en/item/64|ins_1||281.726|prph|1995|62
Chart of the Galapagos: Surveyed in the Merchant-Ship Rattler and Drawn by Captain James Colnett of the Royal Navy in 1793, 1794 ; Engraved by T. Foot||https://www.wdl.org/en/item/65|ins_1|pub_33|912|mp|1798-01-01|63
Map of Asiatic Russia||https://www.wdl.org/en/item/66|ins_4||912|mp|1822|64
Chernigov Province|col_7|https://www.wdl.org/en/item/68|ins_4||914|prph|1856|65
Map of South and North Korea in Eight Provinces||https://www.wdl.org/en/item/69|ins_1||912|mp|1800/1899|66
Land of Chukotka and Kamchatka Region|col_7|https://www.wdl.org/en/item/70|ins_4||915|prph|1856|67
Colombia and Venezuela||https://www.wdl.org/en/item/71|ins_1|pub_18|912|mp|1898|68
Colony of European Immigrants|col_11|https://www.wdl.org/en/item/73|ins_2||981|prph|1875|69
Colony of European Immigrants|col_11|https://www.wdl.org/en/item/74|ins_2||981|prph|1875|70
Colton's Japan: Nippon, Kiusiu, Sikok, Yesso and the Japanese Kuriles||https://www.wdl.org/en/item/75|ins_1|pub_34|912|mp|1855|71
The Count d'Eu and Other Brazilian Officers who Took Part in the Paraguayan War|col_11|https://www.wdl.org/en/item/76|ins_2||981.989|prph|1870|72
Coast of Cuba from Cape of San Antonio to the Bay of Cardenas||https://www.wdl.org/en/item/77|ins_1||912|mp|1780|73
Spelling Book for the Children of the Martínez de Taos Family|col_5|https://www.wdl.org/en/item/78|ins_1|pub_35|372.461|bk|1834|74
General Depiction of the Empty Plains (in Common Parlance, the Ukraine) Together with its Neighboring Provinces||https://www.wdl.org/en/item/79|ins_1|pub_36|912|mp|1648|75
Description of Egypt. Second Edition. Antiquities, Volume One (Plates)|col_13|https://www.wdl.org/en/item/80|ins_6|pub_37|932|prph|1820|76
Destitute Pea Pickers in California: Mother of Seven Children, Age Thirty-two, Nipomo, California. Migrant Mother|col_5|https://www.wdl.org/en/item/81|ins_1|pub_38|306.331|prph|1936-02|77
Christian Doctrine, in Spanish and Tagalog|col_8|https://www.wdl.org/en/item/82|ins_1||238.268|bk|1593|78
Drying Wash at the Edge of the Sukhona River, Tot'ma, Russia|col_9|https://www.wdl.org/en/item/83|ins_1||392|prph|1998|79
Egypt and Arabia Petraea||https://www.wdl.org/en/item/84|ins_1|pub_22|912|mp|1851|80
Ekaterinoslav Province|col_7|https://www.wdl.org/en/item/85|ins_4||914|prph|1856|81
Economic Map of Yakutsk Oblast||https://www.wdl.org/en/item/86|ins_3||333.912|mp|1982|82
Emigrants [i.e. Immigrants] Landing at Ellis Island|col_10|https://www.wdl.org/en/item/87|ins_1|pub_39|304.325|mp|1286|83
Imitating Roman Fights|col_11|https://www.wdl.org/en/item/88|ins_2||796|prph|1898|84
Enisei Province|col_7|https://www.wdl.org/en/item/89|ins_4||914|prph|1856|85
A Letter of Christopher Columbus|col_13|https://www.wdl.org/en/item/90|ins_1|pub_40|910.970|bk|1493|86
Erivan Province|col_7|https://www.wdl.org/en/item/91|ins_4||914|prph|1856|87
Ethnographic Map of the Balkan Peninsula|col_12|https://www.wdl.org/en/item/93|ins_1|pub_41|912|mp|1918|88
The Gospel of our Lord Jesus Christ, Written by the Apostle Matthew; Translated from Russian into Aleut (Fox Dialect) by the Priest Ioann Veniaminov in 1828 and Corrected in 1836; the Priest Iakov Netsvetov, Examining the Final Version, Provided Notes Making it Understandable also to the Akhintsy, Who Have Their Own Dialect|col_5|https://www.wdl.org/en/item/94|ins_4|pub_42|226|bk|1840|89
General Map Showing the Explorations and Surveys of the Expedition, 1907-09||https://www.wdl.org/en/item/95|ins_1|pub_43|912.919|mp|1909|90
General Map of Asiatic Russia: Showing an Up-to-Date Division into Provinces and Regions, Maritime Administration of the Maritime Region, and the Routes of Russian Seafarers||https://www.wdl.org/en/item/96|ins_4|pub_44|912|mp|1844|91
General Map of Irkutsk Province, Self-Compiled in Irkutsk, Yakutsk, and Udinsk Provinces||https://www.wdl.org/en/item/97|ins_3||912.957|mp|1776|92
Geognostic Map of the Localities of Irkutsk, Verkholensk, and Balagansk Districts||https://www.wdl.org/en/item/98|ins_3|pub_45|912.957|mp|1873|93
Geological Map of the Lena Gold Fields||https://www.wdl.org/en/item/99|ins_4||912|mp|1914|94
Great Trading Routes of the Sahara||https://www.wdl.org/en/item/100|ins_1|pub_46|912.966|mp|1890|95
Guide to the Great Siberian Railway|col_14|https://www.wdl.org/en/item/101|ins_4|pub_47|385.957|bk|1900|96
Gulzar Calligraphic Panel||https://www.wdl.org/en/item/102|ins_1||297.745|ms|1797/1798|97
Gusinoe Ozero (Town), Datsan, Main Temple (1858-70), West Facade, Gusinoe Ozero, Russia|col_9|https://www.wdl.org/en/item/103|ins_1||294.726|prph|2000|98
A Modern Depiction of Ireland, One of the British Isles||https://www.wdl.org/en/item/104|ins_1||912|mp|1598|99
His Excellency: George Washington Esq: L.L.D. Late Commander in Chief of the Armies of the U.S. of America and President of the Convention of 1787|col_5|https://www.wdl.org/en/item/105|ins_1||973|prph|1787|100
The Oztoticpac Lands Map||https://www.wdl.org/en/item/106|ins_1||912.972|mp|1540|101
History of the Expedition Under the Command of Captains Lewis and Clark: To the Sources of the Missouri, thence Across the Rocky Mountains and down the River Columbia to the Pacific Ocean|col_15|https://www.wdl.org/en/item/107|ins_1|pub_48|917|bk|1814|102
Imperial Calendar in the Third Year of Emperor Jia Jing’s Reign in the Ming Dynasty|col_16|https://www.wdl.org/en/item/108|ins_1||525|bk|1523|103
Declaration of Independence. In Congress, July 4, 1776, a Declaration by the Representatives of the United States of America, in General Congress Assembled.||https://www.wdl.org/en/item/109|ins_1|pub_49|973|bk|1776-07-04|104
Interview with Fountain Hughes, Baltimore, Maryland, June 11, 1949|col_5|https://www.wdl.org/en/item/110|ins_1|pub_50|306.973|sr|18060|105
Irtysh River, Ferry Crossing at Bol'sherech'e, Russia|col_9|https://www.wdl.org/en/item/111|ins_1||915|prph|1999|106
Isabel, Brazilian Princess|col_11|https://www.wdl.org/en/item/112|ins_2||981|prph|1883|107
The Precious Book on Noteworthy Dates||https://www.wdl.org/en/item/113|ins_7||529|ms|1775|108
Treatise on the Craft of Weight Measurement||https://www.wdl.org/en/item/114|ins_7||516.681|ms|1540|109
Guide to Operations on Irrational Radicals for Neophytes||https://www.wdl.org/en/item/115|ins_7||512|ms|1491/1492|110
Ivolginsk Buddhist Datsan, Main Temple, Interior, Ivolga, Russia|col_9|https://www.wdl.org/en/item/116|ins_1||294|prph|2000|111
A Summary View of the Rights of British America: Set Forth in Some Resolutions Intended for the Inspection of the Present Delegates of the People of Virginia, Now in Convention / by a Native, and Member of the House of Burgesses|col_15|https://www.wdl.org/en/item/117|ins_1|pub_51|323.973|bk|1774|112
Geographical Game of the French Republic||https://www.wdl.org/en/item/118|ins_1|pub_52|793.914|mp|1795|113
Journal of the Voyage of Laurent Lange to China|col_17|https://www.wdl.org/en/item/119|ins_1||915|bk|1734|114
Map of the Amur Country with Evidence of Surveys, Routes and Schedules, Produceed from 1850 to 1860||https://www.wdl.org/en/item/120|ins_4||912|mp|1860|115
"Map of the Anadyr Estuary in the Bering Sea: From a Map by the American Engineer Bulkley in 1815, and Corrected According to the Observations of the Clipper ""Gaidamak"" in 1875"||https://www.wdl.org/en/item/121|ins_4||912|mp|1876|116
Map of Baikal, a Sea, a Lake, or an Angara Gap, Located in the Irkutsk Province with All the Neighboring [Territory], Whose Mathematical Measurements were Completed and it Became Fully Known in 1806||https://www.wdl.org/en/item/122|ins_3||912|mp|1814|117
Map of the Far East of the USSR, Northern China (Manchuria) and Mongolia||https://www.wdl.org/en/item/123|ins_4|pub_53|912|mp|1930|118
Map of the Investigation of the Asiatic Part of the USSR for Hydrogeological Purposes in 1932||https://www.wdl.org/en/item/124|ins_4|pub_54|551.912|mp|1932|119
Map of the Southern Half of Eastern Siberia and Parts of Mongolia, Manchuria, and Sakhalin: For a General Sketch of the Orography of Eastern Siberia||https://www.wdl.org/en/item/125|ins_3||551.912|mp|1875|120
Map of the New Discoveries in the Eastern Ocean||https://www.wdl.org/en/item/126|ins_4|pub_55|912|mp|1781|121
Map Presenting the Discoveries of Russian Navigators in the Pacific Ocean, as Well as Those of Captain Cook||https://www.wdl.org/en/item/127|ins_4||912|mp|1787|122
Map of Agricultural Areas of the Siberian Region||https://www.wdl.org/en/item/128|ins_3|pub_56|630.912|mp|1926|123
Map of Tobol'sk Province (16 Districts)||https://www.wdl.org/en/item/129|ins_4|pub_57|912|mp|1800|124
Map of the Western Part of Asiatic Russia as of 1807 and Notes About Siberia by a Member of the Privy Council of Senator M. Kornilov||https://www.wdl.org/en/item/130|ins_4||912.957|mp|1807|125
A Complete Portrayal of the Earth||https://www.wdl.org/en/item/131|ins_1|pub_58|912|mp|1795|126
Korea|col_2|https://www.wdl.org/en/item/132|ins_1||951|prph|1915|127
Kuklin House (1790s; after 1817), Governor's Mansion, Study of Nicholas II, who Lived Here with his Family from August 1917 until mid April, 1918, Tobol'sk, Russia|col_9|https://www.wdl.org/en/item/133|ins_1||947.957|prph|1999|128
California or New Carolina: Place of Apostolic Works of Society of Jesus at the Septentrional America|col_5|https://www.wdl.org/en/item/134|ins_1|pub_59|912|mp|1720|129
Coruña Bay, Ferrol Bay, Spain|col_18|https://www.wdl.org/en/item/135|ins_1||912.946|mp|1589|130
Palestine, Tribes, and Jerusalem||https://www.wdl.org/en/item/136|ins_1|pub_60|912|mp|1783|131
Mr. Vidigal's Diamond Mine in the Jequitinhonha River (Removing Gravel)|col_11|https://www.wdl.org/en/item/137|ins_2||622|prph|1868|132
Brazil: According to New Surveys by Messrs. of the Royal Academy of Sciences, etc.||https://www.wdl.org/en/item/138|ins_2||912|mp|1729|133
The Course of the River of the Amazons, Based on the Account of Christopher d’Acugna||https://www.wdl.org/en/item/139|ins_2||912|mp|1680|134
The Kingdom of France||https://www.wdl.org/en/item/140|ins_1||912|mp|1724|135
Lest Liberty Perish from the Face of the Earth - Buy Bonds|col_12|https://www.wdl.org/en/item/141|ins_1||332.940|prph|1918|136
Africa, or Greater Libya||https://www.wdl.org/en/item/142|ins_1||912|mp|1679|137
Grand Duchy of Lithuania||https://www.wdl.org/en/item/143|ins_1||912|mp|1778|138
Map of India in the Age of the Mahabharata||https://www.wdl.org/en/item/144|ins_1|pub_61|294.911|mp|1900/1999|139
Map of Brazil, Bolivia, Paraguay, and Uruguay; Map of Chili||https://www.wdl.org/en/item/145|ins_1|pub_62|912|mp|1860|140
Map of Guatemala: Reduced from the Survey in the Archives of that Country, 1826||https://www.wdl.org/en/item/146|ins_1||912|mp|1826|141
Map of the Empire of Germany: Including All the States Comprehended Under that Name with the Kingdom of Prussia||https://www.wdl.org/en/item/147|ins_1|pub_63|912|mp|1782|142
Map of the River Jordan and Dead Sea: And the Route of the Party Under the Command of Lieutenant W.F. Lynch, United States Navy||https://www.wdl.org/en/item/148|ins_1|pub_64|912|mp|1849/1852|143
Map of the West Coast of Africa from Sierra Leone to Cape Palmas, Including the Colony of Liberia||https://www.wdl.org/en/item/149|ins_1|pub_65|912|mp|1830|144
Map of Turkey, Arabia and Persia||https://www.wdl.org/en/item/150|ins_1|pub_66|912|mp|1721|145
Maps of Nicaragua, North and Central America: Population and Square Miles of Nicaragua, United States, Mexico, British and Central America, with Routes and Distances; Portraits of General Walker, Colonel Kinney, Parker H. French, and Views of the Battle of New-Orleans and Bunker Hill||https://www.wdl.org/en/item/152|ins_1|pub_67|912.972|mp|1856|146
Mercator Map of the Bering Sea from the Northeast Coast of Asia, Between Cape Olutor and Cape Chukotka: Taken from Captain Litke's Map, Supplemented by an Insert of the Anadyr Inlet||https://www.wdl.org/en/item/153|ins_4|pub_68|912|mp|1849|147
Modern Asia||https://www.wdl.org/en/item/154|ins_1|pub_69|912|mp|1796|148
Monastery, Canal (19th Century), Solovetskii Island, Russia|col_9|https://www.wdl.org/en/item/155|ins_1||914|prph|1998|149
Monastery, Cathedral of the Transfiguration of the Savior (1558-1566), Northwest View with Gallery (1602), and Church of St. Nicholas (1832-1834) Solovetskii Island, Russia|col_9|https://www.wdl.org/en/item/156|ins_1||281|prph|1998|150
Map Showing the Presumed Headwaters of the Das Velhas River and Part of the Captaincy of Minas Gerais||https://www.wdl.org/en/item/157|ins_2||912|mp|1796|151
Mulberry Street, New York City|col_19|https://www.wdl.org/en/item/158|ins_1|pub_70|974|prph|1900|152
"""Munajat"" of 'Abdallah Ansari"||https://www.wdl.org/en/item/159|ins_1||745|ms|1550|153
Elements of Christian Teaching, or a Short Sacred History and a Short Christian Catechism||https://www.wdl.org/en/item/160|ins_4|pub_42|230.238|bk|1840|154
Nativity-St. Ferapont Monastery, Southwest View, Ferapontovo, Russia|col_9|https://www.wdl.org/en/item/161|ins_1||271.726|prph|1998|155
“Shipwrecked” by Alvar Nuñez Cabeza de Vaca, and the Description of the Journey Which he Made Through Florida with Panfilo de Narvaez||https://www.wdl.org/en/item/162|ins_1||910|bk|1749|156
New Map Showing the Spanish and Portuguese Explorations with Observations of the Most Ingenious Geographers of Spain and Portugal||https://www.wdl.org/en/item/163|ins_2||912|mp|1700|157
New York Police Parade, June 1st, 1899|col_10|https://www.wdl.org/en/item/164|ins_1|pub_39|363.394|mp|1899-06-01|158
New Map of the Wonderful, Large and Rich Land of Guiana||https://www.wdl.org/en/item/165|ins_2||912|mp|1598|159
A Modern Depiction of the World, Done by Philippus Eckebrecht, Citizen of Nuremberg, for the Sole Reason of Bringing the Depiction into Line with the Equator According to the Astronomical Tabulae Rudophinae: Financed by Ioannes Kepler and Engraved at Nuremberg by J. P. Walch||https://www.wdl.org/en/item/166|ins_1|pub_71|912|mp|1630|160
New Atlas of China, Chinese Tartary and Tibet||https://www.wdl.org/en/item/167|ins_1|pub_72|912|mp|1737|161
New Physical, Political, Industrial and Commercial Map of Central America and the Antilles: With a Special Map of the Possessions of the Belgian Colonization Company of Central America, the State of Guatemala||https://www.wdl.org/en/item/168|ins_1|pub_73|912|mp|1845|162
New and Precise Map of the Dioceses of Stavanger, Bergen, and Oslo||https://www.wdl.org/en/item/169|ins_1||912|mp|1650/1700|163
Modern and Completely Correct Map of the Entire World||https://www.wdl.org/en/item/170|ins_2|pub_74|912|mp|1659|164
New and Precise Depiction of the Southern Part of America, Which Includes: Brazil, the Carribean, the New Kingdom of Guiana, Castilia del Oro, Nicaragua, the Antilles, and Peru: And Beneath the Tropic of Capricorn, Chile, the Rio de la Plato, Patagonia & the Straits of Magellan|col_18|https://www.wdl.org/en/item/171|ins_1||912|mp|1602|165
The Most Recent and Most Accurate Description of All of America||https://www.wdl.org/en/item/172|ins_2||912|mp|1650|166
NZD185: Romance and Love-Related Ceremonies|col_20|https://www.wdl.org/en/item/173|ins_1||495|ms|1500/1934|167
NZD186: Romance and Love-Related Ceremonies|col_20|https://www.wdl.org/en/item/174|ins_1||495|ms|1500/1934|168
NZD187: Romance and Love-Related Ceremonies|col_20|https://www.wdl.org/en/item/175|ins_1||495|ms|1500/1934|169
NZD188: Romance and Love-Related Ceremonies|col_20|https://www.wdl.org/en/item/176|ins_1||495|ms|1500/1934|170
NZD189: Romance and Love-Related Ceremonies|col_20|https://www.wdl.org/en/item/177|ins_1||495|ms|1500/1934|171
NZD190: Romance and Love-Related Ceremonies|col_20|https://www.wdl.org/en/item/178|ins_1||495|ms|1500/1934|172
New and Accurate Map of the World||https://www.wdl.org/en/item/179|ins_1|pub_75|912|mp|1690|173
Osceola of Florida, Drawn on Stone by Geo. Catlin, from his Original Portrait|col_5|https://www.wdl.org/en/item/180|ins_1||973|prph|1838|174
From Tobol'sk to Obdorsk||https://www.wdl.org/en/item/181|ins_3||957|prph|1862|175
Report Map on the Hydrogeographic Work of Expeditions to the Eastern Ocean and by Squadron Ships in the Eastern Ocean for 1898 and Preceeding Years||https://www.wdl.org/en/item/182|ins_4||551.912|mp|1899|176
Panama|col_5|https://www.wdl.org/en/item/183|ins_1|pub_76|912|mp|1904|177
Parade at the Palace Square on the Occasion of the Wedding of Princess Isabel and the Count d'Eu|col_11|https://www.wdl.org/en/item/184|ins_2||399.981|prph|1864-10-15|178
The Western part of New France, or Canada, Done by Mr. Bellin, Royal Marine Engineer, in Order to Further Understanding of Present-Day Political Matters in America||https://www.wdl.org/en/item/185|ins_1|pub_77|912|mp|1755|179
Map of the Bay of Rio de Janeiro||https://www.wdl.org/en/item/187|ins_2||912|mp|1764|180
Map of the Bay of Concepción of Chile||https://www.wdl.org/en/item/188|ins_1||912|mp|1782|181
Map of the Uruguay River from Yapeyu to the Farm of Sn. Gregorio||https://www.wdl.org/en/item/189|ins_1||912|mp|1784|182
Iconographic Plan of Mexico City Showing the General Layout of its Pleasant and Beautiful Streets: As well as the repair and elimination of the negative features of the various neighborhoods, with their myriad hidden places, deserted alleyways, ruins and the negligent residents who cause them, in spite of all the efforts of the officers of public law and order under the command of His Excellency Count Revilla Gigedo, in the administration of Metropolitan Mayor Don Ignacio Castera||https://www.wdl.org/en/item/190|ins_1||912|mp|1794-08-23|183
Plants with Parasites|col_11|https://www.wdl.org/en/item/191|ins_2||580|prph|1800/1899|184
Plants with Parasites|col_11|https://www.wdl.org/en/item/192|ins_2||580|prph|1800/1899|185
We Live and Work According to Lenin: Atlas of the Novosibirsk Region||https://www.wdl.org/en/item/193|ins_3|pub_78|912.957|mp|1970|186
Pow-Wow Princess Song||https://www.wdl.org/en/item/194|ins_1||305.781|sr|30541|187
Princess Isabel, the Baroness of Muritiba and the Baroness of Loreto on the Veranda of the Princess’s Residence|col_11|https://www.wdl.org/en/item/195|ins_2||946.981|prph|1866|188
Strolls Around Tobol'sk in 1830||https://www.wdl.org/en/item/196|ins_3|pub_79|957|bk|1834|189
Buildings Designed by Architect Daniel Peter Ferro Cardoso|col_11|https://www.wdl.org/en/item/197|ins_2||725|prph|1880|190
Guide to the Great Siberian Railway|col_14|https://www.wdl.org/en/item/198|ins_4|pub_47|385.957|bk|1900|191
Letter to the Warring Tribes||https://www.wdl.org/en/item/199|ins_5||297.966|ms|1300/1499|192
Curious Designs|col_8|https://www.wdl.org/en/item/200|ins_1||096.769|bk|1624|193
The Book of Urizen|col_8|https://www.wdl.org/en/item/201|ins_1|pub_80|769.821|bk|1815|194
St. Augustine: Part (Below Thirty Degrees Latitude) is on the Mainland of Florida, but the Sea Coast is More Low-Lying and thus Torn Away and Rendered Island-Like|col_18|https://www.wdl.org/en/item/202|ins_1||912.975|mp|1589|195
Safinah Fragment||https://www.wdl.org/en/item/203|ins_1||745|ms|1600/1610|196
Asiatic Siberia. Map of the Siberia Region||https://www.wdl.org/en/item/204|ins_4||912|mp|1929|197
Siberia and Migrants||https://www.wdl.org/en/item/205|ins_3|pub_81|325.957|bk|1892|198
Spinner in Vivian Cotton Mills, Cherryville, North Carolina: Been at it Two Years. Where Will Her Good Looks Be in Ten Years?||https://www.wdl.org/en/item/206|ins_1||677.975|prph|1908-11|199
Sunny California|col_5|https://www.wdl.org/en/item/207|ins_1||331.973|sr|15197|200
Map of Taiwan and the Pescadores Islands||https://www.wdl.org/en/item/208|ins_1||912.951|mp|1882/1895|201
Teresa Cristina Maria, Empress and Consort of Pedro II, Emperor of Brazil|col_11|https://www.wdl.org/en/item/209|ins_2||981|prph|1850/1860|202
The Holy Land or Promised Land (Formerly Palestine), Recently Depicted and Published||https://www.wdl.org/en/item/210|ins_1|pub_75|912|mp|1659|203
The Amazon and Madeira Rivers: Sketches and Descriptions from the Note-Book of an Explorer||https://www.wdl.org/en/item/211|ins_1|pub_82|918.981|bk|1875|204
The Archaeological Map of Iraq||https://www.wdl.org/en/item/212|ins_1|pub_83|912.930|mp|1967|205
The Attack of Manilla, October 1762||https://www.wdl.org/en/item/213|ins_1||912.940|mp|1762-10|206
The Bloody Massacre Perpetrated in King Street, Boston, on March 5th 1770 by a Party of the 29th Regiment|col_5|https://www.wdl.org/en/item/214|ins_1|pub_84|973|prph|1770|207
