Place,item_id,place_id
Latin America and the Caribbean ,178,178
Latin America and the Caribbean ,179,179
North America ,180,180
Latin America and the Caribbean ,181,181
Latin America and the Caribbean ,182,182
Latin America and the Caribbean ,183,183
Latin America and the Caribbean ,184,184
Latin America and the Caribbean ,185,185
Latin America and the Caribbean ,186,186
Europe ,187,187
North America ,188,188
Latin America and the Caribbean ,189,189
Europe ,190,190
Latin America and the Caribbean ,191,191
Europe ,192,192
Africa ,193,193
Europe ,194,194
Europe ,195,195
North America ,196,196
Central and South Asia ,197,197
Europe ,198,198
Europe ,199,199
North America ,200,200
North America ,201,201
East Asia ,202,202
Latin America and the Caribbean ,203,203
Middle East and North Africa ,204,204
Latin America and the Caribbean ,205,205
Middle East and North Africa ,206,206
Southeast Asia ,207,207
North America ,208,208
Latin America and the Caribbean ,209,209
Latin America and the Caribbean ,210,210
Central and South Asia ,211,211
Europe ,212,212
Latin America and the Caribbean ,213,213
Latin America and the Caribbean ,214,214
Central and South Asia ,215,215
North America ,216,216
Latin America and the Caribbean ,217,217
North America ,218,218
Europe ,219,219
Southeast Asia ,220,220
World,221,221
East Asia ,222,222
Africa ,223,223
Europe ,224,224
Europe ,225,225
Europe ,226,226
Europe ,227,227
Africa ,228,228
Latin America and the Caribbean ,229,229
Latin America and the Caribbean ,230,230
Latin America and the Caribbean ,231,231
Latin America and the Caribbean ,232,232
Latin America and the Caribbean ,233,233
Latin America and the Caribbean ,234,234
Middle East and North Africa ,235,235
Middle East and North Africa ,236,236
Middle East and North Africa ,237,237
Europe|Oceania and the Pacific ,238,238
Oceania and the Pacific ,239,239
Oceania and the Pacific ,240,240
Europe ,241,241
Europe ,242,242
Europe ,243,243
Europe ,244,244
Europe ,245,245
Latin America and the Caribbean ,246,246
Latin America and the Caribbean ,247,247
Europe ,248,248
Europe ,249,249
Europe ,250,250
Europe ,251,251
Middle East and North Africa ,252,252
Europe ,253,253
Europe ,254,254
Europe ,255,255
Europe ,256,256
Europe ,257,257
Europe ,258,258
Europe ,259,259
Europe ,260,260
Europe ,261,261
Latin America and the Caribbean ,262,262
Africa ,263,263
Europe ,264,264
Africa ,265,265
Southeast Asia ,266,266
Europe ,267,267
Europe ,268,268
Europe ,269,269
Europe ,270,270
Europe ,271,271
Europe ,272,272
Europe ,273,273
North America ,274,274
North America ,275,275
North America ,276,276
Europe|North America ,277,277
Europe ,278,278
North America ,279,279
Latin America and the Caribbean ,280,280
Latin America and the Caribbean ,281,281
East Asia ,282,282
East Asia ,283,283
East Asia ,284,284
East Asia ,285,285
East Asia ,286,286
East Asia ,287,287
East Asia ,288,288
East Asia ,289,289
East Asia ,290,290
East Asia ,291,291
East Asia ,292,292
East Asia ,293,293
East Asia ,294,294
Middle East and North Africa ,295,295
Middle East and North Africa ,296,296
Middle East and North Africa ,297,297
Middle East and North Africa ,298,298
Middle East and North Africa ,299,299
Middle East and North Africa ,300,300
Europe ,301,301
Europe ,302,302
Southeast Asia ,303,303
Southeast Asia ,304,304
Southeast Asia ,305,305
East Asia ,306,306
East Asia ,307,307
Middle East and North Africa ,308,308
Middle East and North Africa ,309,309
Central and South Asia ,310,310
Africa ,311,311
Africa ,312,312
Middle East and North Africa ,313,313
Africa ,314,314
Europe ,315,315
Europe ,316,316
Europe ,317,317
Europe ,318,318
Europe ,319,319
Europe ,320,320
Europe ,321,321
Latin America and the Caribbean ,322,322
Latin America and the Caribbean ,323,323
Latin America and the Caribbean ,324,324
Europe ,325,325
Europe ,326,326
Latin America and the Caribbean ,327,327
Europe ,328,328
Latin America and the Caribbean ,329,329
Middle East and North Africa ,330,330
Europe ,331,331
Europe ,332,332
Europe ,333,333
Europe ,334,334
North America ,335,335
Oceania and the Pacific ,336,336
Europe ,337,337
Europe ,338,338
Europe ,339,339
Europe ,340,340
Europe ,341,341
Europe ,342,342
Europe ,343,343
Europe ,344,344
Europe ,345,345
Europe ,346,346
Europe ,347,347
Europe ,348,348
Middle East and North Africa ,349,349
Middle East and North Africa ,350,350
Middle East and North Africa ,351,351
Middle East and North Africa ,352,352
Middle East and North Africa ,353,353
Europe ,354,354
World,355,355
Europe ,356,356
Europe ,357,357
Europe ,358,358
Europe ,359,359
Europe ,360,360
Latin America and the Caribbean ,361,361
Latin America and the Caribbean ,362,362
Latin America and the Caribbean ,363,363
Latin America and the Caribbean ,364,364
Latin America and the Caribbean ,365,365
Latin America and the Caribbean ,366,366
Latin America and the Caribbean ,367,367
Europe ,368,368
Europe ,369,369
Europe ,370,370
Europe ,371,371
Europe ,372,372
Europe ,373,373
Central and South Asia ,374,374
Europe ,375,375
Central and South Asia ,376,376
Central and South Asia ,377,377
Central and South Asia ,378,378
Central and South Asia ,379,379
Europe ,380,380
Europe ,381,381
Southeast Asia ,382,382
Southeast Asia ,383,383
Southeast Asia ,384,384
Southeast Asia ,385,385
Middle East and North Africa ,386,386
Europe ,387,387
Africa ,388,388
Latin America and the Caribbean ,389,389
Latin America and the Caribbean ,390,390
Latin America and the Caribbean ,391,391
Latin America and the Caribbean ,392,392
Middle East and North Africa ,393,393
Europe ,394,394
Europe ,395,395
Europe ,396,396
Europe ,397,397
Europe ,398,398
Europe ,399,399
Europe ,400,400
Europe ,401,401
Latin America and the Caribbean ,402,402
Middle East and North Africa ,403,403
Middle East and North Africa ,404,404
Middle East and North Africa ,405,405
Middle East and North Africa ,406,406
Central and South Asia ,407,407
Central and South Asia ,408,408
Central and South Asia ,409,409
Central and South Asia ,410,410
Europe ,411,411
Central and South Asia ,412,412
Europe ,413,413
Central and South Asia ,414,414
Central and South Asia ,415,415
Africa ,416,416
Africa ,417,417
Africa ,418,418
East Asia ,419,419
East Asia ,420,420
Latin America and the Caribbean ,421,421
Europe ,422,422
Europe ,423,423
Europe ,424,424
Europe ,425,425
Europe ,426,426
Middle East and North Africa ,427,427
Africa ,428,428
Africa ,429,429
Africa ,430,430
Europe ,431,431
Europe ,432,432
Europe ,433,433
Middle East and North Africa ,434,434
North America ,435,435
Oceania and the Pacific ,436,436
Oceania and the Pacific ,437,437
Oceania and the Pacific ,438,438
Latin America and the Caribbean ,439,439
Latin America and the Caribbean ,440,440
Europe ,441,441
East Asia ,442,442
Europe ,443,443
Africa ,444,444
Africa ,445,445
Africa ,446,446
Africa ,447,447
Africa ,448,448
Africa ,449,449
Europe ,450,450
Latin America and the Caribbean|Latin America and the Caribbean ,451,451
Europe ,452,452
Europe ,453,453
Europe ,454,454
Central and South Asia ,455,455
Central and South Asia ,456,456
East Asia ,457,457
Southeast Asia ,458,458
Africa,459,459
Africa ,460,460
Africa ,461,461
Southeast Asia ,462,462
Europe ,463,463
Middle East and North Africa ,464,464
Latin America and the Caribbean ,465,465
Africa ,466,466
Africa ,467,467
Latin America and the Caribbean ,468,468
Europe ,469,469
Europe ,470,470
Southeast Asia ,471,471
Europe ,472,472
Latin America and the Caribbean ,473,473
Latin America and the Caribbean ,474,474
Oceania and the Pacific ,475,475
Oceania and the Pacific ,476,476
Oceania and the Pacific ,477,477
Latin America and the Caribbean ,478,478
Europe ,479,479
Latin America and the Caribbean ,480,480
Europe ,481,481
Europe ,482,482
Latin America and the Caribbean ,483,483
Latin America and the Caribbean ,484,484
East Asia ,485,485
Europe ,486,486
Southeast Asia ,487,487
Latin America and the Caribbean ,488,488
Europe ,489,489
Europe ,490,490
Latin America and the Caribbean ,491,491
Latin America and the Caribbean ,492,492
Middle East and North Africa ,493,493
Central and South Asia ,494,494
Europe ,495,495
Latin America and the Caribbean ,496,496
Latin America and the Caribbean ,497,497
Latin America and the Caribbean|North America|Oceania and the Pacific ,498,498
Latin America and the Caribbean ,499,499
Middle East and North Africa ,500,500
Europe ,501,501
Europe ,502,502
Southeast Asia ,503,503
Latin America and the Caribbean ,504,504
Latin America and the Caribbean ,505,505
Europe ,506,506
Latin America and the Caribbean ,507,507
Europe,508,508
Europe ,509,509
Europe ,510,510
Europe ,511,511
Europe ,512,512
Africa ,513,513
Africa ,514,514
Europe ,515,515
Europe ,516,516
Middle East and North Africa ,517,517
Southeast Asia ,518,518
Africa ,519,519
Europe ,520,520
Africa ,521,521
Africa ,522,522
Europe ,523,523
Africa ,524,524
Southeast Asia ,525,525
Africa ,526,526
Africa ,527,527
Africa ,528,528
Africa ,529,529
Africa ,530,530
Africa ,531,531
Africa ,532,532
Southeast Asia ,533,533
Southeast Asia ,534,534
Southeast Asia ,535,535
Southeast Asia ,536,536
Latin America and the Caribbean ,537,537
Middle East and North Africa ,538,538
Middle East and North Africa ,539,539
Europe ,540,540
Africa ,541,541
Europe ,542,542
Africa ,543,543
Oceania and the Pacific ,544,544
Africa ,545,545
Africa ,546,546
Southeast Asia ,547,547
Southeast Asia ,548,548
Middle East and North Africa ,549,549
Africa ,550,550
World,551,551
North America ,552,552
Europe ,553,553
Europe ,554,554
Europe ,555,555
Latin America and the Caribbean ,556,556
Latin America and the Caribbean ,557,557
Central and South Asia ,558,558
Middle East and North Africa ,559,559
Europe ,560,560
Europe ,561,561
Middle East and North Africa ,562,562
Europe ,563,563
Central and South Asia ,564,564
Europe ,565,565
Europe ,566,566
Europe ,567,567
Europe|Europe ,568,568
Europe ,569,569
Central and South Asia ,570,570
Central and South Asia ,571,571
Europe ,572,572
Central and South Asia ,573,573
Central and South Asia ,574,574
Central and South Asia ,575,575
Central and South Asia ,576,576
Europe ,577,577
Europe ,578,578
Europe ,579,579
Europe ,580,580
Europe ,581,581
Europe ,582,582
Europe ,583,583
Central and South Asia ,584,584
Central and South Asia ,585,585
Central and South Asia ,586,586
Central and South Asia ,587,587
Central and South Asia ,588,588
Central and South Asia ,589,589
Central and South Asia ,590,590
Central and South Asia ,591,591
Central and South Asia ,592,592
Central and South Asia ,593,593
Europe ,594,594
Europe ,595,595
Europe ,596,596
Europe ,597,597
Europe ,598,598
Latin America and the Caribbean ,599,599
Europe ,600,600
Europe ,601,601
Europe ,602,602
Latin America and the Caribbean ,603,603
Middle East and North Africa ,604,604
Latin America and the Caribbean ,605,605
Europe ,606,606
Africa ,607,607
Africa ,608,608
Africa ,609,609
Africa ,610,610
Africa ,611,611
Africa ,612,612
Europe ,613,613
Europe ,614,614
Africa ,615,615
Europe ,616,616
Africa ,617,617
Latin America and the Caribbean ,618,618
Latin America and the Caribbean ,619,619
Latin America and the Caribbean ,620,620
Africa ,621,621
Africa ,622,622
Africa ,623,623
Africa ,624,624
Africa ,625,625
Latin America and the Caribbean ,626,626
Latin America and the Caribbean ,627,627
Middle East and North Africa ,628,628
Africa ,629,629
Middle East and North Africa ,630,630
Europe ,631,631
Europe ,632,632
Africa ,633,633
Africa ,634,634
Europe ,635,635
Europe ,636,636
Africa ,637,637
Europe ,638,638
Africa ,639,639
Europe ,640,640
Middle East and North Africa ,641,641
Latin America and the Caribbean ,642,642
Middle East and North Africa ,643,643
Europe ,644,644
Latin America and the Caribbean ,645,645
Europe ,646,646
Europe ,647,647
Europe ,648,648
Africa ,649,649
Africa ,650,650
Europe,651,651
Africa ,652,652
Middle East and North Africa ,653,653
Latin America and the Caribbean ,654,654
Europe ,655,655
Middle East and North Africa ,656,656
Europe ,657,657
Middle East and North Africa ,658,658
North America ,659,659
Oceania and the Pacific ,660,660
Oceania and the Pacific ,661,661
Oceania and the Pacific ,662,662
Oceania and the Pacific ,663,663
Oceania and the Pacific ,664,664
Europe ,665,665
North America ,666,666
Europe ,667,667
Europe ,668,668
Europe ,669,669
Europe ,670,670
Europe ,671,671
Europe ,672,672
Europe ,673,673
Europe ,674,674
Europe ,675,675
Europe ,676,676
Europe ,677,677
Europe ,678,678
Europe ,679,679
Europe ,680,680
Europe ,681,681
Europe ,682,682
Europe ,683,683
Europe ,684,684
Europe ,685,685
Europe ,686,686
Europe ,687,687
Europe ,688,688
Europe ,689,689
Europe ,690,690
Europe ,691,691
Europe ,692,692
Europe ,693,693
Europe ,694,694
Europe ,695,695
Europe ,696,696
Europe ,697,697
Europe ,698,698
Europe ,699,699
Europe ,700,700
Europe ,701,701
Europe ,702,702
Europe ,703,703
Europe ,704,704
Europe ,705,705
Europe ,706,706
Europe ,707,707
Europe ,708,708
Europe ,709,709
Europe ,710,710
Europe ,711,711
Europe ,712,712
Europe ,713,713
Europe ,714,714
Europe ,715,715
Middle East and North Africa ,716,716
Middle East and North Africa ,717,717
Middle East and North Africa ,718,718
Europe ,719,719
Europe ,720,720
Europe ,721,721
Europe ,722,722
Europe ,723,723
Europe ,724,724
Europe ,725,725
Europe ,726,726
Europe ,727,727
Europe ,728,728
Europe ,729,729
Europe ,730,730
Europe ,731,731
Europe ,732,732
Europe ,733,733
Europe ,734,734
East Asia ,735,735
East Asia ,736,736
Latin America and the Caribbean ,737,737
Europe ,738,738
Latin America and the Caribbean ,739,739
Latin America and the Caribbean ,740,740
Latin America and the Caribbean ,741,741
Latin America and the Caribbean ,742,742
Latin America and the Caribbean ,743,743
Latin America and the Caribbean ,744,744
Latin America and the Caribbean ,745,745
Latin America and the Caribbean ,746,746
Latin America and the Caribbean ,747,747
Latin America and the Caribbean ,748,748
Latin America and the Caribbean ,749,749
Latin America and the Caribbean ,750,750
Oceania and the Pacific ,751,751
Latin America and the Caribbean ,752,752
Europe ,753,753
Latin America and the Caribbean ,754,754
Latin America and the Caribbean ,755,755
Latin America and the Caribbean ,756,756
Latin America and the Caribbean ,757,757
Latin America and the Caribbean ,758,758
Latin America and the Caribbean ,759,759
Latin America and the Caribbean ,760,760
Latin America and the Caribbean ,761,761
Latin America and the Caribbean ,762,762
Latin America and the Caribbean ,763,763
Latin America and the Caribbean ,764,764
Latin America and the Caribbean ,765,765
Latin America and the Caribbean ,766,766
Europe ,767,767
Latin America and the Caribbean ,768,768
Latin America and the Caribbean ,769,769
Africa ,770,770
Europe ,771,771
Latin America and the Caribbean ,772,772
Latin America and the Caribbean ,773,773
Latin America and the Caribbean ,774,774
Latin America and the Caribbean ,775,775
Africa ,776,776
Europe ,777,777
Latin America and the Caribbean ,778,778
Latin America and the Caribbean ,779,779
Latin America and the Caribbean ,780,780
Southeast Asia ,781,781
Latin America and the Caribbean ,782,782
Latin America and the Caribbean ,783,783
Latin America and the Caribbean ,784,784
Europe ,785,785
Latin America and the Caribbean ,786,786
Latin America and the Caribbean ,787,787
Central and South Asia ,788,788
Central and South Asia ,789,789
Central and South Asia ,790,790
Europe ,791,791
Latin America and the Caribbean ,792,792
Latin America and the Caribbean ,793,793
Latin America and the Caribbean ,794,794
Europe ,795,795
Latin America and the Caribbean ,796,796
Europe ,797,797
Latin America and the Caribbean ,798,798
Europe ,799,799
Europe ,800,800
Latin America and the Caribbean ,801,801
Europe ,802,802
Latin America and the Caribbean ,803,803
Europe ,804,804
Europe ,805,805
Europe ,806,806
Latin America and the Caribbean ,807,807
Latin America and the Caribbean ,808,808
Latin America and the Caribbean ,809,809
Europe ,810,810
Latin America and the Caribbean ,811,811
Latin America and the Caribbean ,812,812
Europe ,813,813
Latin America and the Caribbean ,814,814
Latin America and the Caribbean ,815,815
Latin America and the Caribbean ,816,816
Europe ,817,817
Latin America and the Caribbean ,818,818
Europe ,819,819
Africa ,820,820
Europe ,821,821
Europe ,822,822
Europe ,823,823
Europe ,824,824
Europe ,825,825
Europe ,826,826
Europe ,827,827
Europe ,828,828
Europe ,829,829
Europe ,830,830
Europe ,831,831
Europe ,832,832
Europe ,833,833
Europe ,834,834
Europe ,835,835
Europe ,836,836
Europe ,837,837
Europe ,838,838
Europe ,839,839
Europe ,840,840
Europe ,841,841
Europe ,842,842
Europe ,843,843
Europe ,844,844
Europe ,845,845
Europe ,846,846
Europe ,847,847
Europe ,848,848
Europe ,849,849
Europe ,850,850
Europe ,851,851
Europe ,852,852
Europe ,853,853
Europe ,854,854
Europe ,855,855
Europe ,856,856
Europe ,857,857
Europe ,858,858
Europe ,859,859
Europe ,860,860
Europe ,861,861
Europe ,862,862
Europe ,863,863
Europe ,864,864
Europe ,865,865
Europe ,866,866
Europe ,867,867
Europe ,868,868
Europe ,869,869
Europe ,870,870
Europe ,871,871
Europe ,872,872
Europe ,873,873
Europe ,874,874
Europe ,875,875
Europe ,876,876
Europe ,877,877
Europe ,878,878
Europe ,879,879
Europe ,880,880
Europe ,881,881
Europe ,882,882
Europe ,883,883
Europe ,884,884
Europe ,885,885
Europe ,886,886
Europe ,887,887
Europe ,888,888
Europe ,889,889
Europe ,890,890
Europe ,891,891
Europe ,892,892
Europe ,893,893
Europe ,894,894
Europe ,895,895
Europe ,896,896
Europe ,897,897
Europe ,898,898
Europe ,899,899
Europe ,900,900
Europe ,901,901
Europe ,902,902
Europe ,903,903
Europe ,904,904
Europe ,905,905
Europe ,906,906
Europe ,907,907
Europe ,908,908
Europe ,909,909
Europe ,910,910
Europe ,911,911
Europe ,912,912
Europe ,913,913
Europe ,914,914
Europe ,915,915
Europe ,916,916
Europe ,917,917
Europe ,918,918
Europe ,919,919
Europe ,920,920
Europe ,921,921
Europe ,922,922
Europe ,923,923
Europe ,924,924
Europe ,925,925
Latin America and the Caribbean ,926,926
Europe ,927,927
Latin America and the Caribbean ,928,928
Latin America and the Caribbean ,929,929
Latin America and the Caribbean ,930,930
Latin America and the Caribbean ,931,931
Europe ,932,932
Europe ,933,933
Europe ,934,934
Latin America and the Caribbean ,935,935
Europe ,936,936
Europe ,937,937
Latin America and the Caribbean ,938,938
Europe ,939,939
Latin America and the Caribbean ,940,940
Latin America and the Caribbean ,941,941
Latin America and the Caribbean ,942,942
Latin America and the Caribbean ,943,943
Latin America and the Caribbean ,944,944
Latin America and the Caribbean ,945,945
Latin America and the Caribbean ,946,946
Latin America and the Caribbean ,947,947
Latin America and the Caribbean ,948,948
Latin America and the Caribbean ,949,949
Latin America and the Caribbean ,950,950
Latin America and the Caribbean ,951,951
Latin America and the Caribbean ,952,952
Latin America and the Caribbean ,953,953
Latin America and the Caribbean ,954,954
Latin America and the Caribbean ,955,955
Latin America and the Caribbean ,956,956
Latin America and the Caribbean ,957,957
Latin America and the Caribbean ,958,958
Latin America and the Caribbean ,959,959
Latin America and the Caribbean ,960,960
Latin America and the Caribbean ,961,961
Latin America and the Caribbean ,962,962
Latin America and the Caribbean ,963,963
Latin America and the Caribbean ,964,964
Latin America and the Caribbean ,965,965
Latin America and the Caribbean ,966,966
Latin America and the Caribbean ,967,967
Latin America and the Caribbean ,968,968
Latin America and the Caribbean ,969,969
Latin America and the Caribbean ,970,970
Latin America and the Caribbean ,971,971
Latin America and the Caribbean ,972,972
Latin America and the Caribbean ,973,973
Latin America and the Caribbean ,974,974
Latin America and the Caribbean ,975,975
Latin America and the Caribbean ,976,976
Latin America and the Caribbean ,977,977
Latin America and the Caribbean ,978,978
Latin America and the Caribbean ,979,979
Latin America and the Caribbean ,980,980
Latin America and the Caribbean ,981,981
Latin America and the Caribbean ,982,982
Latin America and the Caribbean ,983,983
Latin America and the Caribbean ,984,984
Latin America and the Caribbean ,985,985
Latin America and the Caribbean ,986,986
Latin America and the Caribbean ,987,987
Latin America and the Caribbean ,988,988
Latin America and the Caribbean ,989,989
Latin America and the Caribbean ,990,990
Latin America and the Caribbean ,991,991
Latin America and the Caribbean ,992,992
Latin America and the Caribbean ,993,993
Latin America and the Caribbean ,994,994
Latin America and the Caribbean ,995,995
Latin America and the Caribbean ,996,996
Latin America and the Caribbean ,997,997
Latin America and the Caribbean ,998,998
Latin America and the Caribbean ,999,999
Latin America and the Caribbean ,1000,1000
Latin America and the Caribbean ,1001,1001
Latin America and the Caribbean ,1002,1002
Latin America and the Caribbean ,1003,1003
Latin America and the Caribbean ,1004,1004
Latin America and the Caribbean ,1005,1005
Latin America and the Caribbean ,1006,1006
Latin America and the Caribbean ,1007,1007
Latin America and the Caribbean ,1008,1008
Latin America and the Caribbean ,1009,1009
Latin America and the Caribbean ,1010,1010
North America ,1011,1011
Europe ,1012,1012
North America ,1013,1013
North America ,1014,1014
North America ,1015,1015
North America ,1016,1016
North America ,1017,1017
North America ,1018,1018
North America ,1019,1019
North America ,1020,1020
North America ,1021,1021
North America ,1022,1022
North America ,1023,1023
North America ,1024,1024
North America ,1025,1025
North America ,1026,1026
North America ,1027,1027
North America ,1028,1028
North America ,1029,1029
North America ,1030,1030
North America ,1031,1031
North America ,1032,1032
North America ,1033,1033
North America ,1034,1034
North America ,1035,1035
North America ,1036,1036
North America ,1037,1037
North America ,1038,1038
North America ,1039,1039
North America ,1040,1040
North America ,1041,1041
North America ,1042,1042
North America ,1043,1043
North America ,1044,1044
North America ,1045,1045
North America ,1046,1046
North America ,1047,1047
North America ,1048,1048
North America ,1049,1049
North America ,1050,1050
North America ,1051,1051
North America ,1052,1052
North America ,1053,1053
North America ,1054,1054
North America ,1055,1055
North America ,1056,1056
North America ,1057,1057
Europe ,1058,1058
North America ,1059,1059
North America ,1060,1060
North America ,1061,1061
North America ,1062,1062
North America ,1063,1063
North America ,1064,1064
North America ,1065,1065
North America ,1066,1066
North America ,1067,1067
North America ,1068,1068
North America ,1069,1069
North America ,1070,1070
North America ,1071,1071
North America ,1072,1072
Europe ,1073,1073
Latin America and the Caribbean ,1074,1074
Latin America and the Caribbean ,1075,1075
Latin America and the Caribbean ,1076,1076
Latin America and the Caribbean ,1077,1077
Latin America and the Caribbean ,1078,1078
Latin America and the Caribbean ,1079,1079
Latin America and the Caribbean ,1080,1080
Latin America and the Caribbean ,1081,1081
Latin America and the Caribbean ,1082,1082
Latin America and the Caribbean ,1083,1083
Latin America and the Caribbean ,1084,1084
Latin America and the Caribbean ,1085,1085
Latin America and the Caribbean ,1086,1086
Latin America and the Caribbean ,1087,1087
Latin America and the Caribbean ,1088,1088
Latin America and the Caribbean ,1089,1089
Latin America and the Caribbean ,1090,1090
Latin America and the Caribbean ,1091,1091
Latin America and the Caribbean ,1092,1092
Latin America and the Caribbean ,1093,1093
Latin America and the Caribbean ,1094,1094
Latin America and the Caribbean ,1095,1095
Latin America and the Caribbean ,1096,1096
Latin America and the Caribbean ,1097,1097
Latin America and the Caribbean ,1098,1098
Latin America and the Caribbean ,1099,1099
Latin America and the Caribbean ,1100,1100
North America ,1101,1101
Latin America and the Caribbean ,1102,1102
North America ,1103,1103
North America ,1104,1104
Europe ,1105,1105
North America ,1106,1106
Europe ,1107,1107
Europe ,1108,1108
North America ,1109,1109
North America ,1110,1110
North America ,1111,1111
North America ,1112,1112
North America ,1113,1113
North America ,1114,1114
North America ,1115,1115
North America ,1116,1116
North America ,1117,1117
North America ,1118,1118
Latin America and the Caribbean ,1119,1119
Latin America and the Caribbean ,1120,1120
Latin America and the Caribbean ,1121,1121
Latin America and the Caribbean ,1122,1122
Latin America and the Caribbean ,1123,1123
Latin America and the Caribbean ,1124,1124
Latin America and the Caribbean ,1125,1125
Latin America and the Caribbean ,1126,1126
Latin America and the Caribbean ,1127,1127
Latin America and the Caribbean ,1128,1128
Latin America and the Caribbean ,1129,1129
Latin America and the Caribbean ,1130,1130
Latin America and the Caribbean ,1131,1131
Latin America and the Caribbean ,1132,1132
Latin America and the Caribbean ,1133,1133
Latin America and the Caribbean ,1134,1134
Latin America and the Caribbean ,1135,1135
Latin America and the Caribbean ,1136,1136
Latin America and the Caribbean ,1137,1137
Latin America and the Caribbean ,1138,1138
Latin America and the Caribbean ,1139,1139
East Asia ,1140,1140
East Asia ,1141,1141
East Asia ,1142,1142
East Asia ,1143,1143
East Asia ,1144,1144
East Asia ,1145,1145
East Asia ,1146,1146
East Asia ,1147,1147
East Asia ,1148,1148
East Asia ,1149,1149
East Asia ,1150,1150
East Asia ,1151,1151
East Asia ,1152,1152
East Asia ,1153,1153
East Asia ,1154,1154
East Asia ,1155,1155
East Asia ,1156,1156
East Asia ,1157,1157
East Asia ,1158,1158
East Asia ,1159,1159
East Asia ,1160,1160
East Asia ,1161,1161
East Asia ,1162,1162
East Asia ,1163,1163
East Asia ,1164,1164
East Asia ,1165,1165
